,k,dslimit,sizeLimit,neg_sup,filename,Number of predicate,Number of test case,Accuracy,Time,Memory
0,1,0.010000,2,0,generated_data/data_k.txt,100,40,1.000000,261,56623104
1,2,0.010000,2,0,generated_data/data_k.txt,100,40,1.000000,299,60817408
2,3,0.010000,2,0,generated_data/data_k.txt,100,40,1.000000,292,88078336
3,4,0.010000,2,0,generated_data/data_k.txt,100,40,0.800000,410,138409984
4,5,0.010000,2,0,generated_data/data_k.txt,100,40,0.833333,471,184547328
5,6,0.010000,2,0,generated_data/data_k.txt,100,40,0.857143,561,306182144
6,7,0.010000,2,0,generated_data/data_k.txt,100,40,0.777778,656,419428352
7,8,0.010000,2,0,generated_data/data_k.txt,100,40,0.800000,828,522190848
8,9,0.010000,2,0,generated_data/data_k.txt,100,40,0.750000,770,522190848
9,10,0.010000,2,0,generated_data/data_k.txt,100,40,0.769231,859,532674560
10,11,0.010000,2,0,generated_data/data_k.txt,100,40,0.733333,871,532674560
11,12,0.010000,2,0,generated_data/data_k.txt,100,40,0.705882,865,532674560
12,13,0.010000,2,0,generated_data/data_k.txt,100,40,0.722222,857,532674560
13,14,0.010000,2,0,generated_data/data_k.txt,100,40,0.750000,881,532674560
14,15,0.010000,2,0,generated_data/data_k.txt,100,40,0.714286,885,532674560
15,16,0.010000,2,0,generated_data/data_k.txt,100,40,0.727273,880,532674560
16,17,0.010000,2,0,generated_data/data_k.txt,100,40,0.708333,936,532674560
17,18,0.010000,2,0,generated_data/data_k.txt,100,40,0.692308,923,532674560
18,19,0.010000,2,0,generated_data/data_k.txt,100,40,0.714286,946,532674560
19,20,0.010000,2,0,generated_data/data_k.txt,100,40,0.733333,1047,532674560
20,21,0.010000,2,0,generated_data/data_k.txt,100,40,0.718750,970,532674560
21,22,0.010000,2,0,generated_data/data_k.txt,100,40,0.727273,1036,532674560
22,23,0.010000,2,0,generated_data/data_k.txt,100,40,0.714286,991,532674560
23,24,0.010000,2,0,generated_data/data_k.txt,100,40,0.702703,1015,532674560
24,25,0.010000,2,0,generated_data/data_k.txt,100,40,0.692308,1067,532674560
25,26,0.010000,2,0,generated_data/data_k.txt,100,40,0.682927,1033,532674560
26,27,0.010000,2,0,generated_data/data_k.txt,100,40,0.690476,987,532674560
27,28,0.010000,2,0,generated_data/data_k.txt,100,40,0.681818,1009,532674560
28,29,0.010000,2,0,generated_data/data_k.txt,100,40,0.695652,1030,532674560
29,30,0.010000,2,0,generated_data/data_k.txt,100,40,0.687500,1074,532674560
30,31,0.010000,2,0,generated_data/data_k.txt,100,40,0.693878,1043,532674560
31,32,0.010000,2,0,generated_data/data_k.txt,100,40,0.686275,1057,532674560
32,33,0.010000,2,0,generated_data/data_k.txt,100,40,0.698113,996,532674560
33,34,0.010000,2,0,generated_data/data_k.txt,100,40,0.703704,1029,532674560
34,35,0.010000,2,0,generated_data/data_k.txt,100,40,0.696429,1049,532674560
35,36,0.010000,2,0,generated_data/data_k.txt,100,40,0.689655,1012,532674560
36,37,0.010000,2,0,generated_data/data_k.txt,100,40,0.700000,995,532674560
37,38,0.010000,2,0,generated_data/data_k.txt,100,40,0.709677,1055,532674560
38,39,0.010000,2,0,generated_data/data_k.txt,100,40,0.718750,1084,532674560
39,40,0.010000,2,0,generated_data/data_k.txt,100,40,0.723077,1004,532674560
40,41,0.010000,2,0,generated_data/data_k.txt,100,40,0.716418,982,532674560
41,42,0.010000,2,0,generated_data/data_k.txt,100,40,0.724638,1020,532674560
42,43,0.010000,2,0,generated_data/data_k.txt,100,40,0.718310,1089,532674560
43,44,0.010000,2,0,generated_data/data_k.txt,100,40,0.722222,1072,532674560
