,config,filename,Number of predicate,Number of test case,Accuracy,Time,Memory
0,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_1.txt,100,10,0.325879,402,266338304
1,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_2.txt,100,20,0.348485,594,459276288
2,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_3.txt,100,30,0.585366,770,446693376
3,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_4.txt,100,40,0.577778,774,532674560
4,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_5.txt,100,50,0.605263,972,532674560
5,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_6.txt,100,60,0.900000,1166,805230032
6,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_7.txt,100,70,0.714286,1322,899794448
7,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_8.txt,100,80,0.800000,1537,730140296
8,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_9.txt,100,90,0.896552,1487,619022384
9,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_10.txt,100,100,0.650000,1512,640281376
10,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_11.txt,100,110,0.961538,1900,561076544
11,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_12.txt,100,120,1.000000,1623,552903112
12,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_13.txt,100,130,0.925926,1764,553056768
13,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_14.txt,100,140,0.961538,1858,552967648
14,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_15.txt,100,150,0.641026,1942,557840384
15,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_16.txt,100,160,0.757576,2011,564749152
16,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_17.txt,100,170,0.806452,2245,1221352160
17,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_18.txt,100,180,0.838710,2440,1256808088
18,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_19.txt,100,190,0.694444,2674,1015846368
19,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_20.txt,100,200,0.641026,2710,1057799264
20,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_21.txt,100,210,0.714286,2607,1156425760
21,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_22.txt,100,220,0.675676,2778,777711720
22,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_23.txt,100,230,1.000000,2789,702270864
23,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_24.txt,100,240,1.000000,2669,698459648
24,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_25.txt,100,250,1.000000,2785,656625152
25,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_26.txt,100,260,0.750000,3232,657115648
26,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_27.txt,100,270,0.694444,3290,665860624
27,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_28.txt,100,280,0.892857,2890,656635136
28,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_29.txt,100,290,1.000000,3104,635675904
29,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_30.txt,100,300,0.892857,3163,649776752
30,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_31.txt,100,310,1.000000,3371,660950592
31,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_32.txt,100,320,0.862069,3326,619232896
32,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_33.txt,100,330,0.641026,3954,653731312
33,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_34.txt,100,340,0.812500,3563,637479312
34,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_35.txt,100,350,1.000000,3638,650115072
35,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_36.txt,100,360,0.781250,4227,1529608944
36,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_37.txt,100,370,0.925926,3646,648019968
37,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_38.txt,100,380,0.781250,4276,1627387904
38,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_39.txt,100,390,1.000000,4512,1514551456
39,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_40.txt,100,400,0.684211,4777,2280414944
40,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_41.txt,100,410,0.675676,4709,2082374336
41,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_42.txt,100,420,0.928571,4557,1343908544
42,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_43.txt,100,430,0.892857,4828,1934798088
43,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_44.txt,100,440,0.870968,4923,1004877368
44,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_45.txt,100,450,1.000000,4680,1046865568
