,k,dslimit,sizeLimit,neg_sup,filename,Number of predicate,Number of test case,Accuracy,Time,Memory
0,25,0.010000,5,0,generated_data/data_neg_sup.txt,50,500,1.000000,9072,3821424960
1,25,0.010000,5,1,generated_data/data_neg_sup.txt,50,500,1.000000,11689,3612170304
2,25,0.010000,5,2,generated_data/data_neg_sup.txt,50,500,1.000000,2948,876607488
3,25,0.010000,5,3,generated_data/data_neg_sup.txt,50,500,1.000000,1320,532674560
4,25,0.010000,5,4,generated_data/data_neg_sup.txt,50,500,1.000000,1229,532674560
5,25,0.010000,5,5,generated_data/data_neg_sup.txt,50,500,1.000000,1221,450887680
6,25,0.010000,5,6,generated_data/data_neg_sup.txt,50,500,1.000000,872,337641472
7,25,0.010000,5,7,generated_data/data_neg_sup.txt,50,500,1.000000,790,306182144
8,25,0.010000,5,8,generated_data/data_neg_sup.txt,50,500,1.000000,992,287309824
9,25,0.010000,5,9,generated_data/data_neg_sup.txt,50,500,1.000000,705,274726912
10,25,0.010000,5,10,generated_data/data_neg_sup.txt,50,500,1.000000,808,272627712
11,25,0.010000,5,11,generated_data/data_neg_sup.txt,50,500,1.000000,934,262144000
12,25,0.010000,5,12,generated_data/data_neg_sup.txt,50,500,1.000000,937,220200960
13,25,0.010000,5,13,generated_data/data_neg_sup.txt,50,500,1.000000,681,232783872
14,25,0.010000,5,14,generated_data/data_neg_sup.txt,50,500,1.000000,598,216006656
15,25,0.010000,5,15,generated_data/data_neg_sup.txt,50,500,1.000000,560,207618048
16,25,0.010000,5,16,generated_data/data_neg_sup.txt,50,500,1.000000,568,203423752
17,25,0.010000,5,17,generated_data/data_neg_sup.txt,50,500,1.000000,518,199229440
18,25,0.010000,5,18,generated_data/data_neg_sup.txt,50,500,1.000000,463,199229440
19,25,0.010000,5,19,generated_data/data_neg_sup.txt,50,500,1.000000,448,184547328
20,25,0.010000,5,20,generated_data/data_neg_sup.txt,50,500,1.000000,503,176158720
21,25,0.010000,5,21,generated_data/data_neg_sup.txt,50,500,1.000000,453,184547328
22,25,0.010000,5,22,generated_data/data_neg_sup.txt,50,500,1.000000,489,176158720
23,25,0.010000,5,23,generated_data/data_neg_sup.txt,50,500,1.000000,477,171964416
24,25,0.010000,5,24,generated_data/data_neg_sup.txt,50,500,1.000000,526,171964416
25,25,0.010000,5,25,generated_data/data_neg_sup.txt,50,500,1.000000,506,171964416
26,25,0.010000,5,26,generated_data/data_neg_sup.txt,50,500,1.000000,453,171964416
27,25,0.010000,5,27,generated_data/data_neg_sup.txt,50,500,1.000000,518,169869312
28,25,0.010000,5,28,generated_data/data_neg_sup.txt,50,500,1.000000,514,169869312
29,25,0.010000,5,29,generated_data/data_neg_sup.txt,50,500,1.000000,476,161480704
30,25,0.010000,5,30,generated_data/data_neg_sup.txt,50,500,1.000000,422,161480704
31,25,0.010000,5,31,generated_data/data_neg_sup.txt,50,500,1.000000,446,157286400
32,25,0.010000,5,32,generated_data/data_neg_sup.txt,50,500,1.000000,497,157286400
33,25,0.010000,5,33,generated_data/data_neg_sup.txt,50,500,1.000000,465,157286400
34,25,0.010000,5,34,generated_data/data_neg_sup.txt,50,500,1.000000,413,155187200
35,25,0.010000,5,35,generated_data/data_neg_sup.txt,50,500,1.000000,415,155187200
36,25,0.010000,5,36,generated_data/data_neg_sup.txt,50,500,1.000000,619,155187200
37,25,0.010000,5,37,generated_data/data_neg_sup.txt,50,500,1.000000,515,153092096
38,25,0.010000,5,38,generated_data/data_neg_sup.txt,50,500,1.000000,568,153092096
39,25,0.010000,5,39,generated_data/data_neg_sup.txt,50,500,1.000000,534,153092096
40,25,0.010000,5,40,generated_data/data_neg_sup.txt,50,500,1.000000,513,153092096
41,25,0.010000,5,41,generated_data/data_neg_sup.txt,50,500,1.000000,410,155187200
42,25,0.010000,5,42,generated_data/data_neg_sup.txt,50,500,1.000000,503,146798592
43,25,0.010000,5,43,generated_data/data_neg_sup.txt,50,500,1.000000,485,146798592
44,25,0.010000,5,44,generated_data/data_neg_sup.txt,50,500,1.000000,453,146798592
45,25,0.010000,5,45,generated_data/data_neg_sup.txt,50,500,1.000000,419,148897792
46,25,0.010000,5,46,generated_data/data_neg_sup.txt,50,500,1.000000,459,146798592
47,25,0.010000,5,47,generated_data/data_neg_sup.txt,50,500,1.000000,523,148897792
48,25,0.010000,5,48,generated_data/data_neg_sup.txt,50,500,1.000000,573,146798592
49,25,0.010000,5,49,generated_data/data_neg_sup.txt,50,500,1.000000,484,146798592
50,25,0.010000,5,50,generated_data/data_neg_sup.txt,50,500,1.000000,494,146798592
51,25,0.010000,5,51,generated_data/data_neg_sup.txt,50,500,1.000000,735,146798592
52,25,0.010000,5,52,generated_data/data_neg_sup.txt,50,500,1.000000,846,146798592
53,25,0.010000,5,53,generated_data/data_neg_sup.txt,50,500,1.000000,1046,146798592
54,25,0.010000,5,54,generated_data/data_neg_sup.txt,50,500,1.000000,899,146798592
55,25,0.010000,5,55,generated_data/data_neg_sup.txt,50,500,1.000000,812,146798592
56,25,0.010000,5,56,generated_data/data_neg_sup.txt,50,500,1.000000,581,148899688
57,25,0.010000,5,57,generated_data/data_neg_sup.txt,50,500,1.000000,524,146798592
58,25,0.010000,5,58,generated_data/data_neg_sup.txt,50,500,1.000000,539,144703488
59,25,0.010000,5,59,generated_data/data_neg_sup.txt,50,500,1.000000,579,144703488
60,25,0.010000,5,60,generated_data/data_neg_sup.txt,50,500,1.000000,936,144703488
61,25,0.010000,5,61,generated_data/data_neg_sup.txt,50,500,1.000000,951,144703488
62,25,0.010000,5,62,generated_data/data_neg_sup.txt,50,500,1.000000,852,144703488
63,25,0.010000,5,63,generated_data/data_neg_sup.txt,50,500,1.000000,745,144703488
64,25,0.010000,5,64,generated_data/data_neg_sup.txt,50,500,1.000000,534,144703488
65,25,0.010000,5,65,generated_data/data_neg_sup.txt,50,500,1.000000,522,144703488
66,25,0.010000,5,66,generated_data/data_neg_sup.txt,50,500,1.000000,539,144703488
